Coconut Cream Pie II | 22 | 9 | 3.92307686805725 | 7 h | 1 1/2 cups vanilla wafer crumbs; 1/3 cup butter, melted; 1 (.25 ounce) package unflavored gelatin; 1/3 cup cold milk; 3 egg yolks; 2/3 cup white sugar; 1 cup hot milk; 1/2 teaspoon almond extract; 3 egg whites; 1 cup heavy cream, whipped; 1 1/2 cups fresh shredded coconut; 1 tablespoon fresh shredded coconut | Preheat oven to 350 degrees F (175 degrees C).; In a medium bowl, mix together wafer crumbs and melted butter. Press mixture firmly into bottom and sides of a 9-inch pie pan. Bake in preheated oven for 7 minutes. Remove and allow to cool.; Dissolve gelatin in cold milk and set aside to soften.; Beat egg yolks and sugar together, then slowly pour in hot milk while whisking constantly. Cook over medium heat, stirring constantly, until mixture coats a spoon. Remove from heat, then stir in gelatin, followed by almond extract. Chill.; Beat egg whites until stiff. Fold egg whites, whipped cream, and coconut into chilled custard. Pour into pie shell, and sprinkle with additional coconut. Chill 6 hours or overnight before serving. | Home; Recipes; Desserts; Pies; No-Bake Pies; Chiffon Pie
The Best Rolled Sugar Cookies | 16K | 7888 | 4.424889087677 | 3 h | 1 1/2 cups butter, softened; 2 cups white sugar; 4 eggs; 1 teaspoon vanilla extract; 5 cups all-purpose flour; 2 teaspoons baking powder; 1 teaspoon salt | In a large bowl, cream together butter and sugar until smooth. Beat in eggs and vanilla. Stir in the flour, baking powder, and salt. Cover, and chill dough for at least one hour (or overnight).; Preheat oven to 400 degrees F (200 degrees C). Roll out dough on floured surface 1/4 to 1/2 inch thick. Cut into shapes with any cookie cutter. Place cookies 1 inch apart on ungreased cookie sheets.; Bake 6 to 8 minutes in preheated oven. Cool completely. | Home; Recipes; Desserts; Cookies; Sugar Cookies
Chantal's New York Cheesecake | 11K | 5300 | 4.71163845062256 | 7 h 30 m | 15 graham crackers, crushed; 2 tablespoons butter, melted; 4 (8 ounce) packages cream cheese; 1 1/2 cups white sugar; 3/4 cup milk; 4 eggs; 1 cup sour cream; 1 tablespoon vanilla extract; 1/4 cup all-purpose flour | Preheat oven to 350 degrees F (175 degrees C). Grease a 9 inch springform pan.; In a medium bowl, mix graham cracker crumbs with melted butter. Press onto bottom of springform pan.; In a large bowl, mix cream cheese with sugar until smooth. Blend in milk, and then mix in the eggs one at a time, mixing just enough to incorporate. Mix in sour cream, vanilla and flour until smooth. Pour filling into prepared crust.; Bake in preheated oven for 1 hour. Turn the oven off, and let cake cool in oven with the door closed for 5 to 6 hours; this prevents cracking. Chill in refrigerator until serving. | Home; Recipes; Desserts; Cakes; Holiday Cakes
Apple Crisp II | 12K | 5082 | 4.69251441955566 | 1 h 20 m | 10 cups all-purpose apples, peeled, cored and sliced; 1 cup white sugar; 1 tablespoon all-purpose flour; 1 teaspoon ground cinnamon; 1/2 cup water; 1 cup quick-cooking oats; 1 cup all-purpose flour; 1 cup packed brown sugar; 1/4 teaspoon baking powder; 1/4 teaspoon baking soda; 1/2 cup butter, melted | Preheat oven to 350 degrees F (175 degree C).; Place the sliced apples in a 9x13 inch pan. Mix the white sugar, 1 tablespoon flour and ground cinnamon together, and sprinkle over apples. Pour water evenly over all.; Combine the oats, 1 cup flour, brown sugar, baking powder, baking soda and melted butter together. Crumble evenly over the apple mixture.; Bake at 350 degrees F (175 degrees C) for about 45 minutes. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Carrot Cake III | 9K | 5029 | 4.70698404312134 | 2 h | 4 eggs; 1 1/4 cups vegetable oil; 2 cups white sugar; 2 teaspoons vanilla extract; 2 cups all-purpose flour; 2 teaspoons baking soda; 2 teaspoons baking powder; 1/2 teaspoon salt; 2 teaspoons ground cinnamon; 3 cups grated carrots; 1 cup chopped pecans; 1/2 cup butter, softened; 8 ounces cream cheese, softened; 4 cups confectioners' sugar; 1 teaspoon vanilla extract; 1 cup chopped pecans | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x13 inch pan.; In a large bowl, beat together eggs, oil, white sugar and 2 teaspoons vanilla. Mix in flour, baking soda, baking powder, salt and cinnamon. Stir in carrots. Fold in pecans. Pour into prepared pan.; Bake in the preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.; To Make Frosting: In a medium bowl, combine butter, cream cheese, confectioners' sugar and 1 teaspoon vanilla. Beat until the mixture is smooth and creamy. Stir in chopped pecans. Frost the cooled cake. | Home; Recipes; Desserts; Cakes; Sheet Cake
Easy Sugar Cookies | 11K | 5170 | 4.46179723739624 | 25 m | 2 3/4 cups all-purpose flour; 1 teaspoon baking soda; 1/2 teaspoon baking powder; 1 cup butter, softened; 1 1/2 cups white sugar; 1 egg; 1 teaspoon vanilla extract | Preheat oven to 375 degrees F (190 degrees C). In a small bowl, stir together flour, baking soda, and baking powder. Set aside.; In a large bowl, cream together the butter and sugar until smooth. Beat in egg and vanilla. Gradually blend in the dry ingredients. Roll rounded teaspoonfuls of dough into balls, and place onto ungreased cookie sheets.; Bake 8 to 10 minutes in the preheated oven, or until golden. Let stand on cookie sheet two minutes before removing to cool on wire racks. | Home; Recipes; Desserts; Cookies; Sugar Cookies
Big Soft Ginger Cookies | 7K | 4546 | 4.74095582962036 | 50 m | 2 1/4 cups all-purpose flour; 2 teaspoons ground ginger; 1 teaspoon baking soda; 3/4 teaspoon ground cinnamon; 1/2 teaspoon ground cloves; 1/4 teaspoon salt; 3/4 cup margarine, softened; 1 cup white sugar; 1 egg; 1 tablespoon water; 1/4 cup molasses; 2 tablespoons white sugar | Preheat oven to 350 degrees F (175 degrees C). Sift together the flour, ginger, baking soda, cinnamon, cloves, and salt. Set aside.; In a large bowl, cream together the margarine and 1 cup sugar until light and fluffy. Beat in the egg, then stir in the water and molasses. Gradually stir the sifted ingredients into the molasses mixture. Shape dough into walnut sized balls, and roll them in the remaining 2 tablespoons of sugar. Place the cookies 2 inches apart onto an ungreased cookie sheet, and flatten slightly.; Bake for 8 to 10 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before removing to a wire rack to cool completely. Store in an airtight container. | Home; Recipes; Desserts; Cookies; Spice Cookies
Mrs. Sigg's Snickerdoodles | 9K | 4447 | 4.73900747299194 | 1 h | 1/2 cup butter, softened; 1/2 cup shortening; 1 1/2 cups white sugar; 2 eggs; 2 teaspoons vanilla extract; 2 3/4 cups all-purpose flour; 2 teaspoons cream of tartar; 1 teaspoon baking soda; 1/4 teaspoon salt; 2 tablespoons white sugar; 2 teaspoons ground cinnamon | Preheat oven to 400 degrees F (200 degrees C).; Cream together butter, shortening, 1 1/2 cups sugar, the eggs and the vanilla. Blend in the flour, cream of tartar, soda and salt. Shape dough by rounded spoonfuls into balls.; Mix the 2 tablespoons sugar and the cinnamon. Roll balls of dough in mixture. Place 2 inches apart on ungreased baking sheets.; Bake 8 to 10 minutes, or until set but not too hard. Remove immediately from baking sheets. | Home; Recipes; Desserts; Cookies; Sugar Cookies
Creamy Rice Pudding | 7K | 4101 | 4.72618818283081 | 45 m | 3/4 cup uncooked white rice; 2 cups milk, divided; 1/3 cup white sugar; 1/4 teaspoon salt; 1 egg, beaten; 2/3 cup golden raisins; 1 tablespoon butter; 1/2 teaspoon vanilla extract | Bring 1 1/2 cups water to a boil in a saucepan; stir rice into boiling water. Reduce heat to low, cover, and simmer for 20 minutes.; In a clean saucepan, combine 1 1/2 cups cooked rice, 1 1/2 cups milk, sugar and salt. Cook over medium heat until thick and creamy, 15 to 20 minutes. Stir in remaining 1/2 cup milk, beaten egg, and raisins; cook 2 minutes more, stirring constantly. Remove from heat and stir in butter and vanilla. | Home; Recipes; Desserts; Custards and Puddings; Rice Pudding
Beth's Spicy Oatmeal Raisin Cookies | 6K | 3777 | 4.74453020095825 | 50 m | 1/2 cup butter, softened; 1/2 cup butter flavored shortening; 1 cup packed light brown sugar; 1/2 cup white sugar; 2 eggs; 1 teaspoon vanilla extract; 1 1/2 cups all-purpose flour; 1 teaspoon baking soda; 1 teaspoon ground cinnamon; 1/2 teaspoon ground cloves; 1/2 teaspoon salt; 3 cups rolled oats; 1 cup raisins | Preheat oven to 350 degrees F (175 degrees C).; In a large bowl, cream together the butter, butter flavored shortening, brown sugar, white sugar, eggs, and vanilla until smooth. Combine the flour, baking soda, cinnamon, cloves, and salt; stir into the sugar mixture. Stir in the oats and raisins. Drop by rounded teaspoonfuls onto ungreased cookie sheets.; Bake 10 to 12 minutes until light and golden. Do not overbake. Let them cool for 2 minutes before removing from cookie sheets to cool completely. Store in airtight container. Make sure you get some, because they don't last long! | Home; Recipes; Desserts; Cookies; Oatmeal Cookies; Oatmeal Raisin Cookies
Chewy Chocolate Chip Oatmeal Cookies | 7K | 3723 | 4.55477237701416 | 55 m | 1 cup butter, softened; 1 cup packed light brown sugar; 1/2 cup white sugar; 2 eggs; 2 teaspoons vanilla extract; 1 1/4 cups all-purpose flour; 1/2 teaspoon baking soda; 1 teaspoon salt; 3 cups quick-cooking oats; 1 cup chopped walnuts; 1 cup semisweet chocolate chips | Preheat the oven to 325 degrees F (165 degrees C).; In a large bowl, cream together the butter, brown sugar, and white sugar until smooth. Beat in eggs one at a time, then stir in vanilla. Combine the flour, baking soda, and salt; stir into the creamed mixture until just blended. Mix in the quick oats, walnuts, and chocolate chips. Drop by heaping spoonfuls onto ungreased baking sheets.; Bake for 12 minutes in the preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely. | Home; Recipes; Desserts; Cookies; Oatmeal Cookies
Brooke's Best Bombshell Brownies | 6K | 3443 | 4.62023305892944 | 50 m | 1 cup butter, melted; 3 cups white sugar; 1 tablespoon vanilla extract; 4 eggs; 1 1/2 cups all-purpose flour; 1 cup unsweetened cocoa powder; 1 teaspoon salt; 1 cup semisweet chocolate chips | Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 baking dish.; Combine the melted butter, sugar, and vanilla in a large bowl. Beat in the eggs, one at a time, mixing well after each, until thoroughly blended.; Sift the flour, cocoa powder, and salt in a bowl. Gradually stir flour mixture into the egg mixture until blended. Stir in the chocolate morsels. Spread the batter evenly into the prepared baking dish.; Bake in preheated oven until an inserted toothpick comes out clean, 35 to 40 minutes. Remove, and cool pan on wire rack before cutting. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
Peanut Butter Cup Cookies | 6K | 3068 | 4.79499292373657 | 1 h 35 m | 1 3/4 cups all-purpose flour; 1/2 teaspoon salt; 1 teaspoon baking soda; 1/2 cup butter, softened; 1/2 cup white sugar; 1/2 cup peanut butter; 1/2 cup packed brown sugar; 1 egg, beaten; 1 teaspoon vanilla extract; 2 tablespoons milk; 40 miniature chocolate covered peanut butter cups, unwrapped | Preheat oven to 375 degrees F (190 degrees C). Sift together the flour, salt and baking soda; set aside.; Cream together the butter, sugar, peanut butter and brown sugar until fluffy. Beat in the egg, vanilla and milk. Add the flour mixture; mix well. Shape into 40 balls and place each into an ungreased mini muffin pan.; Bake at 375 degrees for about 8 minutes. Remove from oven and immediately press a mini peanut butter cup into each ball. Cool and carefully remove from pan. | Home; Recipes; Desserts; Cookies
Iced Pumpkin Cookies | 6K | 3228 | 4.71733474731445 | 1 h 20 m | 2 1/2 cups all-purpose flour; 1 teaspoon baking powder; 1 teaspoon baking soda; 2 teaspoons ground cinnamon; 1/2 teaspoon ground nutmeg; 1/2 teaspoon ground cloves; 1/2 teaspoon salt; 1/2 cup butter, softened; 1 1/2 cups white sugar; 1 cup canned pumpkin puree; 1 egg; 1 teaspoon vanilla extract; 2 cups confectioners' sugar; 3 tablespoons milk; 1 tablespoon melted butter; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Combine flour, baking powder, baking soda, cinnamon, nutmeg, ground cloves, and salt; set aside.; In a medium bowl, cream together the 1/2 cup of butter and white sugar. Add pumpkin, egg, and 1 teaspoon vanilla to butter mixture, and beat until creamy. Mix in dry ingredients. Drop on cookie sheet by tablespoonfuls; flatten slightly.; Bake for 15 to 20 minutes in the preheated oven. Cool cookies, then drizzle glaze with fork.; To Make Glaze: Combine confectioners' sugar, milk, 1 tablespoon melted butter, and 1 teaspoon vanilla. Add milk as needed, to achieve drizzling consistency. | Home; Recipes; Desserts; Cookies; Pumpkin Cookies
Soft Oatmeal Cookies | 6K | 3249 | 4.69286918640137 | 2 h | 1 cup butter, softened; 1 cup white sugar; 1 cup packed brown sugar; 2 eggs; 1 teaspoon vanilla extract; 2 cups all-purpose flour; 1 teaspoon baking soda; 1 teaspoon salt; 1 1/2 teaspoons ground cinnamon; 3 cups quick cooking oats | In a medium bowl, cream together butter, white sugar, and brown sugar. Beat in eggs one at a time, then stir in vanilla. Combine flour, baking soda, salt, and cinnamon; stir into the creamed mixture. Mix in oats. Cover, and chill dough for at least one hour.; Preheat the oven to 375 degrees F (190 degrees C). Grease cookie sheets. Roll the dough into walnut sized balls, and place 2 inches apart on cookie sheets. Flatten each cookie with a large fork dipped in sugar.; Bake for 8 to 10 minutes in preheated oven. Allow cookies to cool on baking sheet for 5 minutes before transferring to a wire rack to cool completely. | Home; Recipes; Desserts; Cookies; Oatmeal Cookies
Double Layer Pumpkin Cheesecake | 6K | 2687 | 4.76422119140625 | 4 h 10 m | 2 (8 ounce) packages cream cheese, softened; 1/2 cup white sugar; 1/2 teaspoon vanilla extract; 2 eggs; 1 (9 inch) prepared graham cracker crust; 1/2 cup pumpkin puree; 1/2 teaspoon ground cinnamon; 1 pinch ground cloves; 1 pinch ground nutmeg; 1/2 cup frozen whipped topping, thawed | Preheat oven to 325 degrees F (165 degrees C).; In a large bowl, combine cream cheese, sugar and vanilla. Beat until smooth. Blend in eggs one at a time. Remove 1 cup of batter and spread into bottom of crust; set aside.; Add pumpkin, cinnamon, cloves and nutmeg to the remaining batter and stir gently until well blended. Carefully spread over the batter in the crust.; Bake in preheated oven for 35 to 40 minutes, or until center is almost set. Allow to cool, then refrigerate for 3 hours or overnight. Cover with whipped topping before serving. | Home; Recipes; Desserts; Cakes; Pumpkin Cake
Chocolate Chocolate Chip Cookies I | 5K | 2773 | 4.726966381073 | 45 m | 1 cup butter, softened; 1 1/2 cups white sugar; 2 eggs; 2 teaspoons vanilla extract; 2 cups all-purpose flour; 2/3 cup cocoa powder; 3/4 teaspoon baking soda; 1/4 teaspoon salt; 2 cups semisweet chocolate chips; 1/2 cup chopped walnuts (optional) | Preheat oven to 350 degrees F (175 degrees C).; In large bowl, beat butter, sugar, eggs, and vanilla until light and fluffy. Combine the flour, cocoa, baking soda, and salt; stir into the butter mixture until well blended. Mix in the chocolate chips and walnuts. Drop by rounded teaspoonfuls onto ungreased cookie sheets.; Bake for 8 to 10 minutes in the preheated oven, or just until set. Cool slightly on the cookie sheets before transferring to wire racks to cool completely. | Home; Recipes; Desserts; Cookies; Drop Cookies
Simple White Cake | 5K | 2830 | 4.19565200805664 | 50 m | 1 cup white sugar; 1/2 cup butter; 2 eggs; 2 teaspoons vanilla extract; 1 1/2 cups all-purpose flour; 1 3/4 teaspoons baking powder; 1/2 cup milk | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9x9 inch pan or line a muffin pan with paper liners.; In a medium bowl, cream together the sugar and butter. Beat in the eggs, one at a time, then stir in the vanilla. Combine flour and baking powder, add to the creamed mixture and mix well. Finally stir in the milk until batter is smooth. Pour or spoon batter into the prepared pan.; Bake for 30 to 40 minutes in the preheated oven. For cupcakes, bake 20 to 25 minutes. Cake is done when it springs back to the touch. | Home; Recipes; Desserts; Cakes; White Cake
Key Lime Pie VII | 5K | 2587 | 4.79114294052124 | 55 m | 1 (9 inch) prepared graham cracker crust; 3 cups sweetened condensed milk; 1/2 cup sour cream; 3/4 cup key lime juice; 1 tablespoon grated lime zest | Preheat oven to 350 degrees F (175 degrees C).; In a medium bowl, combine condensed milk, sour cream, lime juice, and lime rind. Mix well and pour into graham cracker crust.; Bake in preheated oven for 5 to 8 minutes, until tiny pinhole bubbles burst on the surface of pie. DO NOT BROWN! Chill pie thoroughly before serving. Garnish with lime slices and whipped cream if desired. | Home; Recipes; Desserts; Pies; Custard and Cream Pies; Key Lime Pie
Bread Pudding II | 5K | 2609 | 4.71129941940308 | 1 h 15 m | 6 slices day-old bread; 2 tablespoons butter, melted; 1/2 cup raisins (optional); 4 eggs, beaten; 2 cups milk; 3/4 cup white sugar; 1 teaspoon ground cinnamon; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C).; Break bread into small pieces into an 8 inch square baking pan. Drizzle melted butter or margarine over bread. If desired, sprinkle with raisins.; In a medium mixing bowl, combine eggs, milk, sugar, cinnamon, and vanilla. Beat until well mixed. Pour over bread, and lightly push down with a fork until bread is covered and soaking up the egg mixture.; Bake in the preheated oven for 45 minutes, or until the top springs back when lightly tapped. | Home; Recipes; Desserts; Specialty Desserts; Bread Pudding
