Cornbread Cakes | 8 | 6 | 4 | 25 m | 1 cup self-rising cornmeal; ; ;  | ;  | Home; Recipes; Breakfast and Brunch; Pancakes
Cajun-Style Eggs Benedict | 5 | 5 | 4 | 35 m | 2 tablespoons butter; 2 tablespoons all-purpose flour; 1 cup milk; 1/4 cup grated Parmesan cheese; 1 dash hot pepper sauce; salt and black pepper to taste; 4 large buttermilk biscuits, halved; 1/4 cup vegetable oil; 1/2 pound andouille sausage, halved then cut into 2-inch pieces; 8 eggs | Melt the butter in a small saucepan over medium-low heat. Whisk in the flour, and stir until the mixture becomes paste-like and light golden brown, about 3 minutes. Gradually whisk the milk into the flour mixture, and cook over low heat. Cook and stir until the mixture is thick and smooth, about 10 minutes. Stir in the Parmesan cheese and hot sauce; season to taste with salt and pepper. Keep warm over low heat.; Meanwhile, warm the biscuits in a toaster oven and keep warm. Heat the vegetable oil in a large skillet over medium heat. Place the andouille pieces into the skillet cut-side-down. Cook until golden brown, then turn over and cook until browned on the skin side; remove and keep warm. Reduce the heat to medium-low. Crack four of the eggs into the hot pan, and cook until the egg whites have firmed about halfway through, about 1 minute. Gently flip the eggs over, and cook 10 to 20 seconds more until the other side has just firmed on the outside. Repeat with the remaining eggs.; To assemble, place two biscuit halves onto each plate, cut-side-up. Divide the andouille sausage among the biscuits, then top each biscuit with an egg. Finally, spoon some of the sauce over each egg and serve. | Home; Recipes; Breakfast and Brunch; Eggs; Breakfast Sandwiches
Cool Kale Smoothie | 8 | 5 | 4.16666650772095 | 10 m | 2 cups green grapes; 2 cups kale; 1 cup ice cubes | Blend grapes, kale, and ice together in a blender until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Bacon and Potato Breakfast Strata | 17 | 5 | 3.83333325386047 | 3 h 10 m | 3/4 pound small red potatoes, sliced; 12 slices OSCAR MAYER Bacon, cut into 1-inch pieces; 8 cups French bread, cut into 1/2-inch cubes; 1 cup small broccoli florets; 1 1/2 cups KRAFT Shredded Triple Cheddar Cheese with a Touch of PHILADELPHIA; 1 (8 ounce) tub PHILADELPHIA Chive & Onion Cream Cheese Spread; 6 eggs; 1/4 teaspoon black pepper; 2 1/2 cups milk | Cook potatoes and bacon in large skillet on medium heat 8 to 10 min. or until bacon is crisp and potatoes are tender, stirring occasionally; drain. Combine potato mixture, bread, broccoli and 1 cup shredded cheese; spoon into 13x9-inch baking dish sprayed with cooking spray.; Whisk cream cheese spread, eggs and pepper in medium bowl until blended. Gradually add milk, beating well after each addition; pour over bread mixture. (Bread cubes should be evenly moistened.) Cover with foil. Refrigerate 2 hours.; Heat oven to 375 degrees F. Bake strata, covered, 30 min. or until knife inserted in center comes out clean. Sprinkle with remaining shredded cheese; bake, uncovered, 10 min. or until cheese is melted. | Home; Recipes; Trusted Brands: Recipes and Tips; PHILADELPHIA Cream Cheese
Easy Cheesy Hash Browns | 18 | 5 | 4.83333349227905 | 1 h 15 m | 1 (8 ounce) package cream cheese, softened (optional); 2 (10.75 ounce) cans cream of celery soup; 2 cups sour cream; 2 cups shredded Cheddar cheese; 1 (2 pound) package frozen hash brown potatoes, thawed; 2 cups crushed corn flakes; 1/2 cup butter, melted | Preheat oven to 350 degrees F (175 degrees C).; Stir cream cheese, cream of celery soup, sour cream, and Cheddar cheese in a large bowl until thoroughly combined. Gently fold hash brown potatoes into soup mixture. Stir corn flakes with melted butter in a separate bowl. Spread potato mixture in an even layer into a 9x13-inch baking dish; sprinkle buttered corn flakes over the top.; Bake until casserole is bubbling and topping has browned, about 1 hour. | Home; Recipes; Breakfast and Brunch; Potatoes
Mal's Maple Date Pecan Granola in the Slow Cooker | 8 | 6 | 3.5 | 3 h 5 m | 6 tablespoons applesauce; 1/4 cup pure maple syrup; 2 tablespoons brown sugar (optional); 1 teaspoon ground cinnamon; 1/4 teaspoon salt; 1/4 teaspoon vanilla extract; 1/4 teaspoon maple extract; 1 tablespoon hemp seed hearts (optional); 1 tablespoon chia seeds (optional); 3 cups rolled oats; 1 cup chopped pecans; 1 cup Medjool dates, pitted and chopped | Pour applesauce, maple syrup, brown sugar, cinnamon, salt, vanilla and maple extracts, hemp hearts, and chia seeds into a slow cooker. Stir until well combined; add oats and pecans and stir again.; Cook the granola in the slow cooker on high for 3 hours, venting the lid slightly. If you smell the granola cooking, it's time to stir. Keep an eye on it or it will burn if not stirred occasionally.; Pour the finished granola onto a baking sheet lined with parchment paper and allow to cool completely. Store in an airtight container and enjoy! | Home; Recipes; Breakfast and Brunch; Cereals; Granola
Potato Latkes from Simply Potatoes® | 14 | 4 | 4.33333349227905 | 25 m | 1 (20 ounce) package Simply Potatoes® Shredded Hash Browns; 1/2 cup Better'n Eggs®; 1/3 cup whole wheat flour*; 1/4 cup finely chopped green onion; 1/4 teaspoon ground black pepper; 1 teaspoon salt; 1/4 teaspoon baking powder | In large bowl stir together Simply Potatoes, Better'n Eggs, flour, green onion, pepper, salt, and baking powder.; Heat 1 tablespoon oil in a 12-inch nonstick skillet over medium heat.; Cook 4 latkes at a time: spread 1/4 cup potato mixture for each latke into 3 1/2-inch circles in skillet.; Cook 4 to 5 minutes, turning once. Repeat with remaining potato mixture and add oil to skillet as needed. Season with salt and pepper if desired. | Home; Recipes; Trusted Brands: Recipes and Tips; Simply Potatoes®
Nutty Banana Chocolate Chip Bread | 5 | 6 | 4.5 | 1 h 25 m | 3/4 cup unbleached all-purpose flour; 3/4 cup whole wheat flour; 1/4 cup milled flax seed; 1 teaspoon baking powder; 1 teaspoon baking soda; 1 teaspoon salt; 1 teaspoon ground cinnamon; 1/2 teaspoon ground cloves; 1/4 teaspoon ground nutmeg; 1/2 cup butter, at room temperature; 1/2 cup brown sugar; 1/2 cup granular sucralose sweetener (such as Splenda®); 2 eggs; 1 teaspoon vanilla extract; 1 teaspoon lemon juice; 1/2 cup nonfat plain yogurt; 3 medium bananas, mashed; 1/2 cup chopped walnuts; 1/2 cup miniature semisweet chocolate chips (optional); 1 tablespoon chopped walnuts; 1 tablespoon miniature semisweet chocolate chips | Preheat oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan.; Mix all-purpose flour, whole wheat flour, flax seed, baking powder, baking soda, salt, cinnamon, cloves, and nutmeg in a bowl. Beat butter, brown sugar, and sucralose sweetener in another bowl until light and fluffy. Beat eggs, vanilla extract, and lemon juice into butter mixture until well combined.; Stir flour mixture into butter mixture until smooth. Add yogurt, bananas, 1/2 cup walnuts, and 1/2 cup chocolate chips, stirring until batter is just blended. Pour batter into prepared loaf pan. Sprinkle remaining 1 tablespoon walnuts and 1 tablespoon chocolate chips on top of batter.; Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 70 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Oatmeal Rhubarb Pancakes | 7 | 4 | 3.33333325386047 | 30 m | 1 1/3 cups unbleached all-purpose flour; 10 tablespoons quick cooking oats; 1/3 cup brown sugar; 1 teaspoon ground cinnamon; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 1 1/3 cups nonfat milk; 1 teaspoon lemon juice; 1/2 banana, mashed; 1 cup finely chopped rhubarb; 2 tablespoons vegetable oil | Combine flour, oats, brown sugar, cinnamon, baking soda, and salt in a large bowl. Mix milk and lemon juice in another bowl; stir in banana. Stir banana mixture into flour mixture; fold in rhubarb.; Heat a griddle or large skillet over medium heat. Drop 1/4 cupfuls of batter onto the griddle and cook until bubbles form and the edges are dry, about 2 minutes. Flip, and cook until browned on the other side, about 2 minutes more. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Pancakes; Whole Grain Pancakes
A+ Vegan Pancakes | 14 | 5 | 4.5 | 35 m | 2 cups spelt flour; 2 cups oat flour; 2 tablespoons baking powder; 1/4 cup ground flaxseed meal; 1/2 teaspoon salt; 3 1/2 cups low-fat vanilla soy milk; 1/4 cup applesauce; 2 tablespoons agave nectar; 1 1/2 tablespoons vanilla extract; 2 cups blueberries | Whisk spelt flour, oat flour, baking powder, flaxseed meal, and salt together in a large mixing bowl.; Stir soy milk, applesauce, agave nectar, and vanilla extract together in a separate bowl.; Form a well in the center of the flour mixture and pour soy milk mixture into the well. Stir until the ingredients are just moistened; set aside for 15 minutes.; Lightly oil and heat a griddle to medium heat.; Spoon batter onto hot griddle, sprinkle blueberries onto wet batter, and cook until bubbles form, 2 to 3 minutes. Flip and continue cooking until golden brown on both sides, about 3 minutes more. | Home; Recipes; Breakfast and Brunch; Pancakes; Whole Grain Pancakes
Overnight Ham and Cheese Omelet | 22 | 5 | 4.66666650772095 | 9 h 30 m | 1 teaspoon butter for greasing, or as needed; 12 slices firm bread, discard crusts and cube bread; 1 cup cubed Cheddar cheese; 1 cup cubed ham; 3 cups milk; 6 large eggs; 1/2 teaspoon dried thyme; 1/2 teaspoon salt; 1/2 teaspoon ground black pepper | Butter bottom and sides of a shallow roasting dish.; Layer bread, Cheddar cheese, and ham in prepared roasting dish.; Beat milk, eggs, thyme, salt, and black pepper together in a bowl.; Pour egg mixture over bread mixture; cover and refrigerate 8 hours or overnight.; Preheat oven to 350 degrees F (175 degrees C).; Bake uncovered egg mixture in the preheated oven until center is set, about 1 hour. Allow to sit and cool for 15 minutes before serving. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Ham
Blue Mushroom Omelet | 12 | 5 | 4.66666650772095 | 25 m | 4 eggs; 1 tablespoon whole milk; 4 pinches ground black pepper; 2 pinches garlic salt, or to taste; 2 teaspoons olive oil; 4 cremini mushrooms, sliced; 2 tablespoons chopped red onion; 1 cup baby spinach, coarsely chopped; 1/2 ounce crumbled Stilton cheese; 1/2 cup shredded part-skim mozzarella cheese | Lightly whisk the eggs with the milk in a bowl to break the yolks and integrate the milk; season with 4 pinches black pepper and 2 pinches garlic salt.; Heat olive oil in a non-stick skillet over medium heat; cook and stir mushrooms and onion in hot oil until the onion softens, about 5 minutes.; Spread the mushrooms and onion into the bottom of the skillet so it forms an even layer.; Sprinkle spinach evenly across the top of the mushroom and onion layer.; Pour egg mixture over the vegetables.; Cook until the top of the egg is set, 3 to 5 minutes.; Sprinkle Stilton cheese and mozzarella cheese over the cooked egg; cook until the mozzarella begins to melt, fold the omelet in half around the filling to make a half-moon. | Home; Recipes; Breakfast and Brunch; Eggs; Omelets
Scrambled Eggs a la Charlotte | 7 | 5 | 3.16666674613953 | 20 m | 1 tomato, seeded and diced; 1 green bell pepper, diced; 1 small onion, diced; 1 teaspoon dried tarragon; 6 eggs; 1/4 cup milk; salt and ground black pepper to taste; 2 tablespoons butter | Combine tomato, green bell pepper, onion, and tarragon in a large bowl.; Whisk eggs, milk, salt, and black pepper in another bowl.; Melt butter in a skillet over medium heat. Cook and stir egg mixture in hot butter until nearly set, about 2 minutes.; Stir vegetable mixture into eggs; continue to cook and stir until eggs are set and vegetables begin to soften, about 3 minutes more. | Home; Recipes; Breakfast and Brunch; Eggs; Scrambled Eggs
Fried Matzoh | 6 | 4 | 4.40000009536743 | 30 m | 1/2 teaspoon vegetable oil; 2 cups hot water; 2 (6 inch) matzo sheets; 2 large eggs; 1/8 teaspoon kosher salt; 1 tablespoon butter, divided; kosher salt to taste | Heat vegetable oil in a non-stick frying pan over low heat.; Pour hot water into a bowl. Break matzoh sheets into small chunks and soak in hot water, about 2 minutes.; Whisk eggs and 1/8 teaspoon kosher salt in a separate bowl.; Strain matzoh and shake to remove excess water; stir matzoh into egg mixture.; Pour the heated oil out of non-stick frying pan; place 1/2 tablespoon butter in hot pan.; Pour matzoh and egg mixture into hot butter; cover and cook until a 'pancake' forms, about 10 minutes.; Slide matzoh 'pancake' onto a plate.; Place remaining 1/2 tablespoon butter in hot pan.; Place a second plate over matzoh 'pancake' and flip plates over so the uncooked side is on the bottom.; Lie matzoh 'pancake' in melted butter; cover pan and cook until bottom of pancake is browned, about 8 minutes. Remove from heat and season with kosher salt. | Home; Recipes; Breakfast and Brunch; Eggs
Farro Perlato Cereal | 1 | 5 | 3 | 8 h 35 m | 1 cup farro perlato; 1 pinch salt; 1 cup 2% milk; 2 teaspoons white sugar; 1/2 vanilla bean, split lengthwise and seeds scraped | Place farro in a bowl and cover with several inches of cool water; let stand in refrigerator for 8 hours to overnight. Drain.; Place farro in a saucepan and cover with water; stir in a pinch of salt and bring to a boil. Reduce heat to medium-low, cover, and simmer until tender, about 15 minutes. Drain.; Mix milk, sugar, vanilla bean with seeds, and a pinch of salt together in a saucepan. Cook and stir over medium-low heat until sugar is dissolved and milk is warm, 5 to 7 minutes. Remove vanilla bean and add farro to milk mixture. Cook and stir until heated through, about 5 minutes. | Home; Recipes; Breakfast and Brunch; Cereals
Monster Breakfast Cookies | 11 | 5 | 4.59999990463257 | 35 m | 1/2 cup butter; 1 cup brown sugar; 2 eggs; 2 teaspoons vanilla extract; 1/2 cup vegetable oil; 1/2 cup honey; 3 cups oats; 2 1/2 cups whole wheat flour; 1/2 cup ground flax seed; 1/4 cup sesame seeds; 1/4 cup poppy seeds; 1/4 cup flax seeds; 1 teaspoon baking soda; 1 1/2 teaspoons ground cinnamon; 1 cup raisins | Preheat oven to 350 degrees F (175 degrees C). Lightly grease 4 baking sheets.; Beat butter and sugar with an electric mixer in a large bowl until smooth. Beat the first egg into the butter until completely blended. Add second egg with vanilla extract; continue beating. Continue beating while adding vegetable oil, honey, oats, whole wheat flour, ground flax seed, sesame seeds, poppy seeds, flax seeds, baking soda, and ground cinnamon, respectively. Fold raisins into the dough.; Use a 1/4 cup measuring cup to create monster cookie size and drop onto prepared baking sheets.; Bake in the preheated oven until edges are just browning, about 20 minutes. | Home; Recipes; Breakfast and Brunch
Farm Share Quiche | 7 | 5 | 4.19999980926514 | 1 h 5 m | 1 tablespoon butter; 1 large sweet onion (such as Vidalia®), cut into chunks; 6 eggs; 1/2 cup whole milk; 10 ounces shredded Jarlsberg cheese; 2 ounces freshly grated Parmesan cheese; 2 bunches Swiss chard, stems and leaves separated; 1 teaspoon fresh thyme leaves; 1 pinch nutmeg; salt and ground black pepper to taste; 1 prepared 10-inch pie crust | Preheat oven to 375 degrees F (190 degrees C).; Melt butter in large skillet over medium heat. Cook and stir onion in melted butter until soft, about 7 minutes; transfer to large bowl.; Blend eggs, milk, Jarlsberg cheese, and Parmesan cheese in a food processor or blender; pour into bowl with the onion. Add chard, thyme, nutmeg, salt, and black pepper; mix. Pour egg mixture into prepared pie crust.; Bake in preheated oven until a knife inserted into the center of the quiche comes out clean, 40 to 45 minutes. | Home; Recipes; Breakfast and Brunch; Eggs
Spelt Waffles | 8 | 4 | 4.40000009536743 | 45 m | 2 cups spelt flour; 1/4 cup flax seed meal; 4 teaspoons baking powder; 1 tablespoon ground cinnamon; 2 teaspoons baking soda; 1 teaspoon Himalayan salt; 1 3/4 cups coconut milk; 1/4 cup coconut oil, melted; 2 eggs, beaten; 2 tablespoons apple cider vinegar; 1 tablespoon vanilla extract | Preheat and grease a waffle iron according to manufacturer's instructions.; Combine spelt flour, flax seed meal, baking powder, cinnamon, baking soda, and salt together in a bowl. Stir coconut milk, coconut oil, eggs, vinegar, and vanilla extract together in a separate bowl. Add coconut milk mixture to flour mixture; stir to combine. Let batter thicken for 1 to 2 minutes.; Pour about 1 cup batter into waffle iron. Cook until golden and crisp, about 6 minutes. Repeat with remaining batter. | Home; Recipes; Breakfast and Brunch; Waffles
Best Hawaiian Banana Nut Bread | 14 | 4 | 4.59999990463257 | 2 h 10 m | 2 cups all-purpose flour; 1 1/4 cups white sugar; 1 tablespoon light brown sugar; 3/4 teaspoon baking soda; 3/4 teaspoon ground cinnamon; 1/2 teaspoon baking powder; 1/2 teaspoon salt; 1 1/3 cups mashed bananas; 2/3 cup canola oil; 2/3 cup crushed pineapple, drained; 2/3 cup flaked coconut; 1/4 cup chopped walnuts; 1/4 cup chopped macadamia nuts; 2 eggs, well beaten; 4 teaspoons applesauce; 1 1/2 teaspoons vanilla extract; 1 teaspoon lemon extract; 1/2 teaspoon coconut extract; 2 tablespoons butter, at room temperature; 1/4 cup white sugar; 1/4 cup chopped walnuts; 1/4 cup chopped macadamia nuts; 1 teaspoon milk | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x5-inch loaf pan.; Mix flour, 1 1/4 cup white sugar, brown sugar, baking soda, cinnamon, baking powder, and salt in a large bowl. Stir mashed banana, canola oil, pineapple, flaked coconut, 1/4 cup walnuts, 1/4 cup macadamia nuts, eggs, applesauce, vanilla extract, lemon extract, and coconut extract into flour mixture until blended. Pour batter into prepared loaf pan.; Bake in the preheated oven until a toothpick inserted in the center of the loaf comes out clean, 70 to 80 minutes. Cool bread in the pan for 10 minutes; remove and transfer to a wire rack to cool, 20 to 30 minutes.; Mix butter, 1/4 cup white sugar, 1/4 cup walnuts, 1/4 cup macadamia nuts, and milk together in a bowl. Spread on top of bread once it has been transferred to the wire rack. | Home; Recipes; Breakfast and Brunch; Breakfast Bread
Coconut and Banana Smoothie | 8 | 4 | 5 | 5 m | 1 cup coconut milk; 3 scoops vanilla ice cream; 2 ripe bananas; 2 teaspoons honey (optional) | Blend coconut milk, ice cream, bananas, and honey in a blender or food processor until smooth. | Home; Recipes; Breakfast and Brunch; Drinks
Flaskpankaka (Swedish Pork Pancake) | 8 | 5 | 4 | 40 m | 4 slices bacon, cut into 1x1/2-inch squares; 3 eggs; 2 tablespoons white sugar; 1 teaspoon salt; 2 cups milk; 1 cup all-purpose flour | Set oven rack about 6 inches from the heat source and preheat the oven's broiler.; Spread bacon squares into a 9x13-inch baking dish.; Cook bacon under preheated broiler until brown, 7 to 10 minutes.; Preheat oven to 425 degrees F (220 degrees C).; Beat eggs, sugar, and salt together in a bowl; add milk and flour alternately while mixing with a spoon to make a thin batter. Pour batter into the hot baking dish with the bacon.; Bake in preheated oven until puffy and brown, 20 to 30 minutes. | Home; Recipes; Breakfast and Brunch; Meat and Seafood; Bacon
