Classic Cuban Midnight (Medianoche) Sandwich | 230 | 130 | 4.68553447723389 | 23 m | 4 sweet bread rolls; ; ; ; ; ; ;  | ;  | Home; Recipes; World Cuisine; Latin American; Caribbean
Rock's T-Bone Steaks | 236 | 115 | 4.70322561264038 | 15 m | 4 teaspoons salt, or to taste; 2 teaspoons paprika; 1 1/2 teaspoons ground black pepper; 3/4 teaspoon onion powder; 3/4 teaspoon garlic powder, or to taste; 3/4 teaspoon cayenne pepper, or to taste; 3/4 teaspoon ground coriander, or to taste; 3/4 teaspoon ground turmeric, or to taste; 4 (16 ounce) t-bone steaks, at room temperature | Preheat an outdoor grill for high heat, and lightly oil the grate. Stir the salt, paprika, black pepper, onion powder, garlic powder, cayenne pepper, coriander, and turmeric together in a small bowl; set aside.; Rub the steaks on all sides with the seasoning mixture. Cook on the preheated grill to your desired degree of doneness, 3 to 3 1/2 minutes per side for medium-rare. An instant-read thermometer inserted into the center should read 130 degrees F (54 degrees C). | Home; Recipes; Meat and Poultry; Beef; Steaks
Stuffed Zucchini with Chicken Sausage | 190 | 122 | 4.5290322303772 | 1 h 5 m | 2 zucchini, ends trimmed; 3 tablespoons olive oil; 2 links Italian-style chicken sausage, casings removed; 2 teaspoons crushed red pepper flakes (optional); salt and ground black pepper to taste; 1/2 sweet onion (such as Vidalia®), chopped; 3 cloves garlic, chopped; 1 (14.5 ounce) can whole peeled tomatoes, drained and chopped; 1/2 cup dry bread crumbs; 1/4 cup grated Parmesan cheese; 1 tablespoon chopped fresh basil | Preheat oven to 375 degrees F (190 degrees C).; Cut a lengthwise 3/4-inch thick slice from each zucchini. Retain the lengthwise slices. With a spoon, scoop out the flesh, leaving a shell intact all around the zucchini. Discard or save the flesh for another use. Chop up the retained lengthwise slices of zucchini.; Heat the olive oil in a skillet over medium heat, and cook the chicken sausage, breaking the meat up as it cooks, until the sausage has begun to brown, about 8 minutes. Sprinkle in the crushed red pepper flakes, and season with salt and black pepper. Stir in the chopped zucchini, onion, and garlic, and cook until the onion is translucent, about 5 minutes. Scrape the sausage mixture into a bowl, and stir in the tomatoes, bread crumbs, Parmesan cheese, and basil until the stuffing is thoroughly combined.; Lightly stuff the zucchini boats with the stuffing, place the zucchini into a baking dish, and bake until thoroughly heated through and beginning to brown on top, about 30 minutes. | Home; Recipes; Meat and Poultry; Chicken; Baked and Roasted
Barbequed Pork Ribs | 151 | 119 | 4.64516115188599 | 3 h 40 m | 5 pounds pork spareribs, cut into serving size pieces; 1/2 cup butter; 1 medium onion, chopped; 1 tablespoon minced garlic; 1/2 cup distilled white vinegar; 1 cup water; 1 cup ketchup; 1 cup hickory smoke flavored barbeque sauce; 1 lemon, juiced; salt and pepper to taste | Place ribs in large skillet or roasting pan. Cover with lightly salted water, and bring to a boil. Reduce heat to low, and simmer for 1 hour, or until meat is tender, but not quite falling off the bone. Remove from heat, and drain.; Place the boiled ribs in a roasting pan, and cover with sauce. Cover, and refrigerate for at least 2 hours.; Melt butter in a saucepan over medium heat. Cook the onion and garlic in butter until the onion is tender; remove from heat. In a blender, combine 1 cup water, vinegar, ketchup, barbeque sauce, and lemon juice. Pour in the melted butter mixture, and puree for 1 minute. Pour into a saucepan, and season to taste with salt and pepper. Bring to a boil, then remove from heat.; Preheat grill for medium-high heat.; Brush grill grate with oil. Grill ribs for 10 to 20 minutes, or until well browned, basting with sauce and turning frequently. | Home; Recipes; Meat and Poultry; Pork; Ribs; Spare Ribs
Picante Chicken Rice Burritos | 239 | 105 | 4.5290322303772 | 1 h | 2 tablespoons butter; 1/2 cup chopped green onion; 1 clove garlic, minced; 7 cups shredded, cooked chicken meat; 1 tablespoon chili powder; 2 1/2 cups chicken broth, divided; 1 (16 ounce) jar picante sauce, divided; 1 cup uncooked long grain rice; 1/2 cup sliced black olives; 3 cups shredded Cheddar cheese, divided; 12 (10 inch) flour tortillas | To Make Chicken Mixture: In a large skillet over medium heat, melt butter and saute green onion and garlic until soft; stir in chicken, chili powder, 1/4 cup broth and 3/4 cup picante sauce. Heat through, then set aside.; To Make Rice: In a large saucepan, bring rice and remaining 2 1/4 cups broth to a boil. Reduce heat, cover pan and simmer for 20 minutes. Stir in remaining 1 1/4 cups picante sauce, cover and simmer for another 5 to 10 minutes or until rice is tender.; Meanwhile, preheat oven to 375 degrees F (190 degrees C).; To Assemble Burritos: Stir chicken mixture into rice, then add olives and 2 cups of the cheese. Mix well. Spoon 1 cup of filling onto each tortilla, off center. Fold sides and ends over filling, then roll up. Arrange filled tortillas in two 9x13 inch baking dishes and sprinkle remaining cup of cheese on top.; Bake at 375 degrees F (190 degrees C) for 10 to 15 minutes, or until heated through. | Home; Recipes; World Cuisine; Latin American; Mexican
Easy Shepherd's Pie with Garlic Romano Potatoes | 150 | 111 | 4.50322580337524 | 1 h | 1 pound ground beef; 1/2 cup chopped onion; 1 teaspoon dried rosemary; 1 teaspoon dried basil; 1 (8 ounce) can tomato sauce; 1 (14.5 ounce) can diced tomatoes, drained; 2 (15 ounce) cans mixed vegetables, drained; 2 pounds red potatoes; 1/2 cup butter; 1/2 cup grated Romano cheese; 2 tablespoons minced garlic; 1 teaspoon salt; 1 teaspoon dried oregano; 1/3 cup milk | Preheat oven to 375 degrees F (190 degrees C). Lightly grease a medium baking dish.; Place the beef and onion in a skillet over medium heat. Season with rosemary and basil. Cook until beef is evenly brown; drain grease. Mix in tomato sauce, diced tomatoes, and mixed vegetables. Cook and stir until vegetables are heated through. Transfer to the baking dish.; Place potatoes in a pot with enough water to cover, and bring to a boil. Cook 10 minutes, or until tender. Remove from heat and drain. Mix butter, Romano cheese, garlic, salt, oregano, and milk into the pot. Mash together with a potato masher. Top beef and vegetables with the mashed potatoes.; Bake 30 minutes in the preheated oven. Turn oven to broil, and continue cooking 3 minutes, until potatoes are golden brown. | Home; Recipes; Main Dish; Savory Pies; Shepherd's Pie
Crunchy Eggplant Parmesan | 357 | 112 | 4.58441543579102 | 2 h 35 m | cooking spray; 2 eggplants, peeled and sliced crosswise 1/4-inch thick; 2 teaspoons salt, or as needed; 4 eggs, beaten; 1 1/2 cups panko bread crumbs; 2 tablespoons dried Italian herb seasoning; 2 tablespoons olive oil; 1 onion, diced; 2 cloves garlic, minced; 4 cups prepared pasta sauce; 2 cups shredded Italian cheese blend; 1/3 cup grated Parmesan cheese | Preheat oven to 400 degrees F (200 degrees C). Spray an 11x13-inch baking dish and 2 baking sheets with cooking spray.; Place eggplant slices on racks over the sink or paper towels and sprinkle both sides of slices lightly with salt. Let eggplant drain for 30 minutes, rinse, and pat dry with paper towels. Place eggplant slices on prepared baking sheets.; Bake in the preheated oven until eggplant is soft, about 15 minutes.; Pour beaten eggs into a shallow bowl; combine panko bread crumbs with Italian seasoning in a separate shallow bowl. Dip eggplant into beaten egg and press into panko crumbs to coat. Place breaded eggplant back on the baking sheets and spray the slices with cooking spray.; Set oven rack about 6 inches from the heat source and preheat the oven's broiler.; Broil eggplant slices until tops are golden brown, 2 to 3 minutes; remove slices, turn, and spray other sides with cooking spray. Broil until golden brown 2 to 3 more minutes. Remove eggplant and turn oven temperature to 350 degrees F (175 degrees C).; Heat olive oil in a skillet over medium heat and cook and stir onion and garlic until onion is translucent, about 5 minutes. Stir in prepared pasta sauce and remove from heat.; Spread 1/3 of the pasta sauce into bottom of the prepared baking dish. Top with half the eggplant slices, half the Italian cheese blend, and half the Parmesan cheese. Spread another 1/3 of the sauce over the layers; layer the remaining eggplant, remaining pasta sauce, Italian cheese blend, and Parmesan cheese.; Bake casserole in the 350 degree oven until cheese is melted and bubbly, about 30 minutes. Let stand about 10 minutes before serving. | Home; Recipes; World Cuisine; European; Italian
Sweet and Sour Chicken Tenders | 336 | 126 | 4.62986993789673 | 55 m | 1 egg, beaten; 1/2 cup cornstarch; 1 teaspoon garlic salt; 10 chicken tenders; 1 tablespoon vegetable oil; 1/2 cup cider vinegar; 1/2 cup white sugar; 1/4 cup chicken broth; 1/4 cup ketchup; 1 tablespoon soy sauce; 1 teaspoon salt | Preheat the oven to 375 degrees F (190 degrees C).; Pour cornstarch and garlic salt into a large resealable bag.; Dip chicken pieces in beaten egg. Remove and drop chicken into cornstarch mixture and seal the bag.; Shake the chicken in the bag until all pieces are fully coated.; Heat vegetable oil in a skillet over medium heat. Cook and stir chicken in heated oil until browned, about 5 minutes.; Stir vinegar, sugar, chicken broth, ketchup, soy sauce, and salt together in a bowl.; Arrange the browned chicken in a baking dish; pour the vinegar mixture over the chicken.; Bake in preheated oven until chicken is no longer pink in the center and juices run clear, about 40 minutes. | Home; Recipes; Main Dish; Chicken; Sweet and Sour Chicken
Chef John's Corned Beef and Cabbage | 451 | 117 | 4.77124166488647 | 4 h 15 m | 1 (4 pound) corned beef brisket with spice packet; 3 quarts water; 1 onion, quartered; 3 carrots, cut into large chunks; 3 stalks celery, cut into 2-inch pieces; 1 teaspoon salt; 2 pounds red potatoes, halved; 1 small head cabbage, cut into eighths | Combine corned beef and spice packet contents, water, onion, carrots, celery, and salt together in a large pot or Dutch oven; bring to a simmer, skimming off any foam that rises to the surface.; Cover the pot, reduce heat to low, and simmer until meat is almost fork-tender, about 3 hours. Add potatoes and simmer, uncovered, until potatoes are almost tender, about 30 minutes more.; Place cabbage pieces on top of and around meat, cover the pot, and simmer until cabbage is tender, 20 to 30 minutes more.; Remove meat to a cutting board and let rest 10 to 15 minutes. Cut across the grain and serve in a bowl; ladle vegetables and broth over the top. | Home; Recipes; World Cuisine; European; UK and Ireland; Irish
Grilled Beef Tenderloin with Herb-Garlic-Pepper Coating | 219 | 119 | 4.89542484283447 | 1 h 25 m | 1 (5 pound) whole beef tenderloin; 6 tablespoons olive oil; 8 large garlic cloves, minced; 2 tablespoons minced fresh rosemary; 1 tablespoon dried thyme leaves; 2 tablespoons coarsely ground black pepper; 1 tablespoon salt | Prepare beef: Trim off excess fat with a sharp knife. Fold thin tip end under to approximate the thickness of the rest of the roast. Tie with butcher's twine, then keep tying the roast with twine every 11/2 to 2 inches (to help the roast keep its shape). Snip silverskin with scissors to keep roast from bowing during cooking. Then, mix oil, garlic, rosemary, thyme, pepper and salt; rub over roast to coat. Set meat aside.; Either build a charcoal fire in half the grill or turn all gas burners on high for 10 minutes. Lubricate grate with an oil-soaked rag using tongs. Place beef on hot rack and close lid; grill until well-seared, about 5 minutes. Turn meat and close lid; grill until well-seared on second side, another 5 minutes.; Move meat to the charcoal grill's cool side, or turn off burner directly underneath the meat and turn remaining one or two burners (depending on grill style) to medium. Cook until a meat thermometer inserted in the thickest section registers 130 degrees for rosy pink, 45 to 60 minutes, depending on tenderloin size and grill. Let meat rest 15 minutes before carving. | Home; Recipes; Main Dish; Roasts
Taco Stuffed Shells | 252 | 106 | 4.54248380661011 | 1 h 20 m | 16 jumbo pasta shells; 1 pound ground beef; 1 (1.25 ounce) package taco seasoning mix; 1 cup water; 1 (16 ounce) can refried beans; 3/4 cup shredded Cheddar cheese; 1 (16 ounce) jar salsa, divided; 1/4 cup sliced green onion; 1/4 cup shredded Cheddar cheese; 1/2 cup sour cream (optional) | Bring a large pot of water to a boil over high heat. Stir in the shell pasta, and return to a boil. Cook the pasta uncovered, until just slightly firm to the bite, about 13 minutes. Drain well.; Brown the ground beef in a large skillet; drain fat. Stir in the taco seasoning and water; cook over low heat until thickened, about 5 minutes. Stir the refried beans and 3/4 cup Cheddar cheese into the taco meat. Spoon meat mixture into prepared pasta shells.; Spoon 1/4 cup salsa over the bottom of a 9x13 inch baking dish. Arrange filled shells over salsa. Spoon remaining salsa over shells.; Bake in preheated oven for 40 minutes. Remove from oven; sprinkle with sliced green onion and 1/4 cup shredded Cheddar cheese. Serve with sour cream. | Home; Recipes; Pasta and Noodles; Pasta by Shape
Steamed Lobster Tails | 344 | 126 | 4.77124166488647 | 10 m | 1 tablespoon sea salt; 4 (6 ounce) lobster tails; 1/2 cup butter, melted | Pour about 1 inch of water in the bottom of a large pot and bring to a boil. Add the salt and place a steamer insert inside the pot so that it is just above the water level. Put the lobster tails on the rack and cover the pot. Cover and steam for 8 minutes. And don't peek! Serve with melted butter. | Home; Recipes; Seafood; Shellfish; Lobster
Cajun Style Stuffed Peppers | 243 | 111 | 4.64052295684814 | 1 h | 6 large green bell peppers; 3 tablespoons olive oil; 1 onion, diced; 2 cloves garlic, minced; 1/2 teaspoon dried oregano; 1 tablespoon Creole seasoning; black pepper to taste; 3/4 pound shrimp, peeled and deveined; 1 1/2 links of andouille sausage, diced; 1 cup uncooked long-grain white rice; 2 1/2 cups chicken broth; 1 (8 ounce) can tomato sauce; 1 lemon - cut into wedges, for garnish (optional); Louisiana-style hot sauce | Preheat oven to 325 degrees F (165 degrees C). Grease an 8x12 inch baking dish. Bring a large pot of water to a boil. Remove tops and seeds from peppers. Blanch in boiling water 3 minutes. Drain on paper towels.; Heat olive oil in a large, deep skillet over medium heat. Saute onion until translucent. Stir in garlic, and season with oregano, Creole seasoning and black pepper. Stir in shrimp and sausage, and cook until shrimp turns pink, 5 minutes. Stir in rice, and cook 1 minute. Pour in chicken broth and tomato sauce. Cook until thick, 15 to 20 minutes. Fill peppers with stuffing mixture, and place in baking dish.; Bake in preheated oven for 15 to 20 minutes, or until heated through. Serve with lemon wedges and hot sauce. | Home; Recipes; Seafood; Shellfish; Shrimp
Penne Russo a la Vodka | 157 | 124 | 4.52941179275513 | 35 m | 1 (16 ounce) package dry penne pasta; 1 teaspoon olive oil; 2 cloves garlic, minced; 1/8 pound prosciutto, chopped; 1/2 teaspoon red pepper flakes; 2 (16 ounce) cans whole peeled tomatoes; 1/2 cup vodka; 1 cup heavy cream; 1 cup Parmesan cheese; 1/2 cup chopped fresh basil leaves; salt to taste | Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.; Heat oil in a large skillet or wok over medium heat. Saute garlic, prosciutto and red pepper flakes for 1 minute. Stir in tomatoes, and cook for 3 minutes. Stir in vodka and cream. Simmer 15 minutes, or until thickened. Stir in Parmesan and chopped basil. Toss with pasta until evenly coated. | Home; Recipes; Pasta and Noodles; Pasta by Shape
Taylor's Piroshki | 192 | 123 | 4.5490198135376 | 2 h | 1 1/2 pounds ground beef; 1 onion, finely chopped; 1 teaspoon salt; ground black pepper to taste; dried dill weed to taste; 1 (.25 ounce) package active dry yeast; 1/4 cup warm water; 1 cup milk; 3 eggs; 1/2 cup vegetable oil; 2 tablespoons granulated sugar; 1 teaspoon salt; 4 cups all-purpose flour; 3 cups oil for frying | In a medium skillet over medium heat, cook the ground beef until evenly browned; drain. Stir in the onion and cook with the beef until translucent. Sprinkle in salt, pepper and dill weed to taste. Allow to cool before using.; Dissolve the yeast in the 1/4 cup of warm water and place in a warm location until frothy, about 10 to 15 minutes. In a medium saucepan over low heat, warm the milk and gently whisk in the eggs, oil, sugar and salt. Remove from heat.; Place half the flour in a large mixing bowl and gradually stir in the milk mixture. Then add the yeast solution alternately with the remaining flour, stirring after each addition. Mix well. Knead until the dough forms a ball and does not stick to the bowl. (Note: Start with the 4 cups of flour. You may need to add more, a little at a time, as you knead the dough). Cover the bowl with a clean cloth. Set in a warm location and allow to rise until doubled in volume.; Remove dough from bowl and place on a lightly floured surface. Pinch off pieces approximately the size of golf balls. Roll the pieces into disks about 3 1/2 to 4 inches in diameter.; Fill center of each disk with a heaping tablespoon of the cooled meat mixture. Fold disks over the mixture and firmly pinch edges to seal. Arrange on a flat surface and allow to sit approximately 10 minutes.; In an large, heavy skillet or deep fryer, heat the oil to 375 degrees F (190 degrees C). Deep fry the piroshki in batches until golden brown on one side; gently turn and fry the other side. Remove and let drain on a plate lined with paper towels. | Home; Recipes; World Cuisine; European; Eastern European; Russian
Accidental Fish | 203 | 118 | 4.54966878890991 | 30 m | 2 (4 ounce) fillets mahi mahi; 2 teaspoons olive oil; 1/2 cup salted butter; 1 clove garlic, minced; 1 tablespoon lemon juice; 2 drops Louisiana-style hot sauce, or to taste; 1 roma tomato, seeded and chopped (optional); 1 green onion, chopped | Preheat an oven to 450 degrees F (230 degrees C).; Rub the mahi mahi fillets with the olive oil and lay into a baking dish.; Bake in the preheated oven until the fish flakes easily with a fork, about 20 minutes.; While the mahi mahi bakes, melt the butter in a saucepan over medium heat.; Stir the garlic, lemon juice, and hot sauce into the melted butter; simmer together for 1 minute. Add the tomato and green onion to the butter mixture; cook and stir until hot. Spoon over the baked fish to serve. | Home; Recipes; Seafood; Fish; Mahi Mahi
Ranch Chicken Tacos | 255 | 92 | 4.54304647445679 | 25 m | 1/2 cup ranch dressing; 1/4 cup reduced-fat sour cream; 1 (1 ounce) packet taco seasoning mix, divided; 1 tablespoon mild chunky salsa; 2 cups shredded rotisserie chicken; 8 (6 inch) corn tortillas; shredded lettuce; 1 tomato, chopped; 4 green onions, sliced; 1 (4 ounce) can sliced black olives; 1 avocado - peeled, pitted and diced (optional); 1 cup shredded Colby-Monterey Jack cheese | Combine ranch dressing, sour cream, 1 teaspoon taco seasoning, and salsa in a small bowl. Cover and refrigerate until serving.; Toss chicken with remaining taco seasoning. Cover bowl loosely with wax paper or plastic wrap. Microwave chicken until chicken is heated through, about 2 to 3 minutes.; Warm the tortillas in a skillet for about a minute on each side to make them pliable. Place a scoop of chicken on the tortilla and top with lettuce, tomato, green onion, olives, avocado, cheese, and a spoonful of the ranch dressing mixture. | Home; Recipes; Trusted Brands: Recipes and Tips; Vanity Fair
