Old Fashioned Chocolate Cake | 111 | 87 | 4.53999996185303 | 1 h 15 m | ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;  | ; ; ;  | Home; Recipes; Desserts; Chocolate
Texas Sheet Cake II | 123 | 83 | 4.66666650772095 | 1 h | 2 cups all-purpose flour; 2 cups white sugar; 1 cup butter; 1 cup water; 1/2 cup shortening; 1/2 cup unsweetened cocoa powder; 1/2 cup buttermilk; 2 eggs; 1 teaspoon baking soda; 1 1/2 teaspoons vanilla extract; 6 tablespoons milk; 4 cups confectioners' sugar | Sift together and set aside in large bowl the flour and sugar.; In saucepan over medium heat bring to a boil; 1/2 cup margarine or butter, 1/2 cup shortening, 1 cup water, and 4 tablespoons cocoa.; Pour cocoa mixture over flour and sugar mixture. Stir in buttermilk, eggs, baking soda, and 1/2 teaspoon vanilla. Mix well and pour into a greased and floured sheet pan.; Bake in a preheated 400 degrees F (205 degrees C) oven for 20 minutes.; To Make Frosting: Five minutes before cake is done, bring to boil in a saucepan 1/2 cup margarine or butter, 6 tablespoons milk, and 4 tablespoons cocoa. Remove from heat and immediately stir in the confectioners' sugar, nuts (if desired), and 1/2 teaspoon vanilla extract. Beat until smooth and immediately pour frosting over cake. Cake may be served warm or at room temperature. | Home; Recipes; Desserts; Chocolate
Mary Anne's Carrot Cake | 100 | 76 | 4.68367338180542 | 1 h 15 m | 4 cups ground carrots; 2 (15 ounce) cans crushed pineapple, drained; 1 1/2 cups vegetable oil; 3 cups white sugar; 6 eggs; 2 teaspoons ground cinnamon; 1 teaspoon ground nutmeg; 3 cups all-purpose flour; 3 teaspoons baking soda; 1/4 teaspoon salt; 1 1/2 cups raisins | Preheat oven to 375 degrees F (190 degrees C). Grease and flour two 10 inch Bundt pans. Sift together flour, baking soda and salt. set aside.; In a large bowl, combine carrots, pineapple, oil and sugar. Add eggs, cinnamon and nutmeg. Add flour mixture and mix well. Stir in raisins.; Pour into prepared greased and floured pans. Bake for 45 minutes, or until a toothpick inserted into the cake comes out clean. Allow to cool, then frost with cream cheese frosting. | Home; Recipes; Desserts; Cakes; Spice Cake
Grandma's Apple Dumplings | 105 | 85 | 4.72448968887329 | 45 m | 2 Granny Smith apples - peeled, cored and quartered; 1 (8 ounce) can refrigerated crescent rolls; 1/8 teaspoon ground cinnamon; 1/2 cup butter; 3/4 cup white sugar; 1 cup orange juice; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Wrap each apple piece in one crescent roll. Place seam side down in an 8x8 baking dish and sprinkle with cinnamon.; In medium saucepan, combine butter, sugar, and orange juice; bring to a boil. Remove from heat and stir in vanilla. Pour over rolls.; Bake for 30 minutes, or until pastry is golden and apples are tender. Spoon sauce over rolls when serving. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Carrot Cake Cookies | 104 | 79 | 4.5 | 30 m | 1/2 cup butter, softened; 1 cup brown sugar; 2 eggs; 1 (8 ounce) can crushed pineapple, drained; 3/4 cup shredded carrots; 1 cup raisins; 2 cups all-purpose flour; 1 teaspoon baking powder; 1/2 teaspoon baking soda; 1/2 teaspoon salt; 2 tablespoons ground cinnamon; 1 cup chopped walnuts (optional) | Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets or line with parchment paper.; In a large bowl, cream together the butter and brown sugar until smooth. Beat in the eggs one at a time, stir in the crushed pineapple, carrots and raisins. Combine the flour, baking powder, baking soda, salt and cinnamon; stir into the carrot mixture. Mix in the walnuts if desired. Drop by rounded spoonfuls onto the prepared cookie sheets.; Bake for 15 to 20 minutes in the preheated oven, until bottoms begin to brown and cookies are set. Allow cookies to cool for a few minutes on the cookie sheets before removing to wire racks to cool completely. | Home; Recipes; Desserts; Cookies; Drop Cookies
Irish Cream Brownies | 103 | 77 | 4.47959184646606 | 1 h 20 m | 1 (20 ounce) package brownie mix; 1/2 cup Irish cream liqueur; 1/2 cup vegetable oil; 2 eggs; 2 teaspoons milk; 2 tablespoons Irish cream liqueur; 1 teaspoon brewed coffee; 1/2 cup butter, softened; 2 cups confectioners' sugar; 1 teaspoon vanilla extract; 1/2 cup toffee baking bits (such as Heath Bits 'O Brickle®) (optional) | Preheat oven to 350 degrees F (175 degrees C). Grease a 9x13 inch baking pan.; Stir together the brownie mix, the 1/2 cup Irish cream liqueur, vegetable oil, and eggs. Spread in the prepared pan.; Bake in the preheated oven until the top is dry and the edges have started to pull away from the sides of the pan, about 30 minutes. Remove from oven to cool completely on a wire rack.; Place the milk, 2 tablespoons Irish cream liqueur, and coffee in a small, microwave safe bowl. Microwave on High until the mixture boils. Set aside to cool completely.; Beat the butter and confectioners' sugar with an electric mixer in a bowl until smooth. Add the vanilla extract and the cooled Irish cream mixture, and beat well. Spread evenly over the cooled brownies. Sprinkle evenly with the toffee bits. | Home; Recipes; Desserts; Specialty Desserts; Liqueur Desserts; Irish Cream
New York Cheesecake | 208 | 82 | 4.7142858505249 | 7 h 35 m | 1 1/2 cups graham cracker crumbs; 1/4 cup white sugar; 1/3 cup butter, melted; 3 (8 ounce) packages cream cheese, room temperature; 4 eggs, room temperature; 1 tablespoon vanilla extract; 1 cup white sugar; 1 teaspoon cream of tartar; 1 pint sour cream; 1 teaspoon vanilla extract; 1/2 cup white sugar | Preheat oven to 350 degrees F (175 degrees C).; Mix together the cracker crumbs, sugar, and butter in a bowl until evenly moistened. Press into the bottom and 1/2 inch up the sides of a 9-inch springform pan.; In a large bowl, mix together the cream cheese and sugar with an electric mixer until smooth. Blend in the eggs, 1 tablespoon of vanilla, and cream of tartar. Pour over the pie crust.; Bake in preheated oven until the center is set, about 50 minutes. Allow to cool on counter for 5 minutes.; Mix together the sour cream, 1 teaspoon vanilla, and 1/2 cup sugar in a bowl until smooth; carefully pour over cheesecake starting from the sides of the pan and working your way to the center.; Return to oven for another 5 minutes. Allow to cool in pan to room temperature. Refrigerate for at least 6 hours before serving. | Home; Recipes; Desserts; Cakes; Cheesecake; New York Cheesecake
High Altitude Deep Dish Brownies | 120 | 82 | 4.59183692932129 | 50 m | 7/8 cup all-purpose flour; 1/2 cup unsweetened cocoa powder; 1/2 teaspoon baking powder; 1/2 teaspoon salt; 3/4 cup butter, melted; 1 1/2 cups white sugar; 1 1/2 teaspoons vanilla extract; 3 eggs; 3/4 cup semisweet chocolate chips (optional); 1/2 cup chopped pecans (optional) | Preheat the oven to 350 degrees F (175 degrees C). Grease an 8 inch square baking dish.; In a large bowl, combine the flour, cocoa, baking powder and salt; set aside. In a separate bowl, stir together the melted butter, sugar, and vanilla. Mix in the eggs. Gradually stir in the dry ingredients just until blended. Fold in chocolate chips and pecans if using. Spread the batter evenly in the prepared pan.; Bake in the preheated oven until the edges start to pull away from the sides of the pan and the top appears dry, 35 to 40 minutes. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
Great Grandma's Peach Cobbler | 264 | 82 | 4.67346954345703 | 55 m | 1 (29 ounce) can sliced peaches in juice, drained, reserving juice; 1 cup self-rising flour; 1 cup white sugar; 1 egg; 1/2 cup butter, melted | Preheat oven to 350 degrees F (175 degrees C).; Arrange peach slices in a 9-inch round baking dish. Pour about half the reserved peach juice on top; discard remaining juice. Beat egg, flour, and sugar in a bowl until combined; pour over peaches. Drizzle melted butter over flour mixture.; Bake in preheated oven until golden brown, about 45 minutes. | Home; Recipes; Desserts; Fruit Desserts; Peach Desserts
Easy Brownie Mix Cookies | 156 | 91 | 4.15463924407959 | 1 h 15 m | 1 (19.8 ounce) package brownie mix; 1/4 cup all-purpose flour; 1/4 cup vegetable oil; 3 tablespoons water; 2 eggs; 1 cup semisweet chocolate chips | Preheat oven to 350 degrees F (175 degrees C). Lightly grease a baking sheet.; Combine brownie mix, flour, oil, water, eggs, and chocolate chips in a large bowl. Drop spoonfuls of dough 2 inches apart onto prepared baking sheet.; Bake in preheated oven until cookies are just set, about 9 minutes. Let cool on baking sheets for 2 minutes before removing to a wire rack to cool completely. | Home; Recipes; Desserts; Cookies; Brownies; Chocolate Brownies
Pastel de Tres Leches (Three Milk Cake) | 204 | 81 | 4.68041229248047 | 1 h 50 m | 6 eggs, separated; 1 cup white sugar; 1 cup all-purpose flour; 1 tablespoon baking powder; 1/2 cup milk; 2 teaspoons vanilla extract; 1 cup heavy whipping cream; 1 (14 ounce) can sweetened condensed milk; 1 (12 ounce) can evaporated milk; 1 cup whipped cream (optional); 1 cup sliced fresh strawberries (optional) | Preheat oven to 350 degrees F (175 degrees C).; Grease a 10x15-inch baking dish.; Beat egg whites in a large mixing bowl with an electric mixer on high until stiff peaks form; gradually beat in sugar until mixture is glossy. Beat in egg yolks, one at a time, combining each yolk before adding the next. Reduce mixer speed to medium and add flour, about 1 tablespoon at a time, to the mixture, beating continuously; beat in baking powder, milk, and vanilla extract. Pour batter into prepared baking dish.; Bake in the preheated oven until cake is lightly browned and a toothpick inserted in the middle comes out clean, about 25 minutes. Let cake cool for 15 minutes.; Pour 1 cup cream, sweetened condensed milk, and evaporated milk in a blender and pulse several times until well blended. Pour three-milk mixture evenly over the cake. Refrigerate cake until cold and the milk mixture has soaked in, at least 1 hour.; Cut in squares and top each serving with a dollop of whipped cream and a few sliced strawberries. Refrigerate leftovers. | Home; Recipes; World Cuisine; Latin American; Mexican
Carrot Pineapple Cupcakes | 154 | 76 | 4.63917541503906 | 1 h 10 m | 1 cup white sugar; 2/3 cup vegetable oil; 2 eggs, beaten; 1 1/2 cups all-purpose flour; 2 teaspoons baking powder; 1 teaspoon baking soda; 1 teaspoon ground cinnamon; 1/2 teaspoon salt; 1 cup finely grated carrot; 1 cup crushed pineapple, drained; 1 teaspoon vanilla extract; 1/2 cup butter, softened; 1 (8 ounce) package cream cheese, softened; 3 cups confectioners' sugar; 1 teaspoon vanilla extract; 1 tablespoon milk | Preheat oven to 375 degrees F (190 degrees C).; Grease 12 muffin cups or line with paper liners.; Stir white sugar, vegetable oil, and eggs together in a large mixing bowl until thoroughly combined.; Whisk flour, baking powder, baking soda, cinnamon, and salt in a separate bowl.; Stir flour mixture into liquid ingredients until thoroughly moistened. Mix in carrot, pineapple, and 1 teaspoon vanilla extract.; Pour batter into the prepared muffin cups, filling them to the top.; Bake cupcakes in the preheated oven until a toothpick inserted into the middle of a cupcake comes out clean, about 20 minutes. Set aside to cool completely.; Cream butter with cream cheese with an electric hand mixer in a bowl until smooth.; Beat in confectioners' sugar, vanilla extract, and milk to make a spreadable frosting; frost the cooled cupcakes. | Home; Recipes; Desserts; Fruit Desserts; Pineapple Desserts
Make-Ahead Sour Cream Coffee Cake | 150 | 80 | 4.72164964675903 | 8 h 50 m | 3/4 cup butter, softened; 1 cup white sugar; 2 eggs; 1 (8 ounce) carton sour cream; 2 cups all-purpose flour; 1 teaspoon baking powder; 1 teaspoon baking soda; 1 teaspoon ground nutmeg; 1/2 teaspoon salt; 3/4 cup packed brown sugar; 1/2 cup chopped pecans; 1 teaspoon ground cinnamon | Grease and flour a 9x13-inch baking pan.; Beat butter and white sugar in a bowl with an electric mixer until light and fluffy, about 2 minutes.; Beat eggs and sour cream into butter mixture until smooth.; Whisk flour, baking powder, baking soda, nutmeg, and salt together in a bowl until thoroughly combined; stir into the sour cream mixture to make a batter.; Pour the batter into the prepared baking dish.; Mix the brown sugar, pecans, and cinnamon in a bowl; sprinkle the mixture over the batter.; Cover the baking dish with plastic wrap and chill 8 hours to overnight.; Preheat oven to 350 degrees F (175 degrees C).; Remove plastic wrap from the dish; bake until a toothpick inserted into the center of the coffee cake comes out clean, 35 to 40 minutes. | Home; Recipes; Desserts; Cakes; Holiday Cakes
Brenda's Apple and Pomegranate Crisp | 141 | 77 | 4.47422695159912 | 1 h 10 m | 4 medium apples - peeled, cored and sliced; 1/2 pomegranate, skin and light-colored membrane removed; 1/2 cup brown sugar; 1 tablespoon ground cinnamon; 1/2 teaspoon ground nutmeg; 1/2 cup rolled oats; 1/2 cup all-purpose flour; 1/2 cup white sugar; 1/2 cup unsalted butter, melted | Preheat the oven to 375 degrees F (190 degrees C). Butter a 9x13-inch baking dish.; In a large bowl, toss together the apples, pomegranate seeds, brown sugar, cinnamon, and nutmeg. Spread evenly into the prepared pan. In the same bowl, stir together the oats, flour and sugar. Rub in the butter between your fingers until the mixture resembles coarse crumbs. Sprinkle over the top of the fruit.; Bake for 45 minutes in the preheated oven, or until the apples are soft. Let stand 10 minutes before serving. Serve warm or at room temperature. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Blueberry Ricotta Squares | 134 | 82 | 4.24742269515991 | 1 h 10 m | 1 cup all-purpose flour; 3/4 cup white sugar; 1 1/4 teaspoons baking powder; 1/3 cup milk; 1/4 cup shortening; 1 egg; 1/2 teaspoon lemon extract; 1 1/2 cups blueberries; 2 eggs, beaten; 1 1/4 cups ricotta cheese; 1/3 cup white sugar; 1/4 teaspoon vanilla extract | Preheat the oven to 350 degrees F (175 degrees C). Grease a 9 inch square baking dish.; In a large bowl, stir together the flour, 3/4 cup of sugar, and baking powder. Add the milk, shortening, 1 egg, and lemon extract, and use an electric mixer to mix on low speed for 1 minute, then on medium speed for 1 minute. Pour the batter into the prepared pan, and spread evenly. Sprinkle blueberries over the batter.; In a medium bowl, stir together 2 beaten eggs, ricotta cheese, 1/3 cup of sugar, and vanilla extract. Spoon this mixture over the blueberries, and spread evenly.; Bake for 55 to 60 minutes in the preheated oven, until a knife inserted near the center comes out clean. Cool completely before cutting into squares and serving. | Home; Recipes; World Cuisine; European; Italian
Caramel Apple Bars III | 88 | 78 | 4.22680425643921 | 40 m | 1 cup packed brown sugar; 1/2 cup butter, softened; 1/4 cup shortening; 1 3/4 cups all-purpose flour; 1 1/2 cups quick cooking oats; 1 (14 ounce) package individually wrapped caramels, unwrapped; 1 teaspoon salt; 1/2 teaspoon baking soda; 4 1/2 cups apple - peeled, cored, and chopped; 1 tablespoon lemon juice; 3 tablespoons all-purpose flour | Preheat the oven to 400 degrees F (200 degrees C).; In a large bowl, cream together the brown sugar, butter and shortening until smooth. Combine 1 3/4 cups flour, oats, baking soda and salt; stir into the creamed mixture until well blended. Set aside 2 cups of this mixture. Press the remaining mixture into the bottom of an ungreased 9x13 inch baking pan.; In a medium bowl, toss apples with lemon juice, then toss them with the 3 tablespoons of flour. Spread the apple mixture evenly over the prepared crust. In a small saucepan over medium heat, melt caramels, stirring frequently until smooth. Pour the melted caramels evenly over the apples. Sprinkle the reserved oat mixture over the top of the apple layer. Press down lightly.; Bake for 25 to 30 minutes in the preheated oven, until the top is golden brown and the apples are tender. Cut while slightly warm and refrigerate any leftover bars. | Home; Recipes; Desserts; Fruit Desserts; Apple Desserts
Apple Slab Pie | 282 | 77 | 4.47422695159912 | 1 h 30 m | 1 1/2 cups all-purpose flour; 1 1/2 tablespoons white sugar; 1/2 cup shortening; 1/4 teaspoon salt; 1/2 teaspoon baking powder; 2 egg yolks, beaten; 4 tablespoons water; 8 apples - peeled, cored and cut into thin wedges; 2 tablespoons lemon juice; 2 tablespoons all-purpose flour; 1 3/4 cups white sugar; 1/2 teaspoon ground cinnamon; 2 tablespoons butter; 1 cup all-purpose flour; 1 teaspoon ground cinnamon; 2/3 cup brown sugar; 2/3 cup butter | Preheat oven to 350 degrees F (175 degrees C.) In a large bowl, combine flour sugar, salt and baking powder. Cut in shortening until mixture resembles coarse crumbs. Mix egg yolk and water together and mix into flour until it forms a ball. Roll out to fit the bottom of a 10x15 inch pan.; In a large bowl, combine apples, lemon juice, 2 tablespoons flour, sugar and cinnamon. Pour filling into pie crust and dot with 2 tablespoons butter.; In a medium bowl, combine 1 cup flour, 1 teaspoon cinnamon, 2/3 cup brown sugar and 2/3 cup butter. Cut in the butter until crumbly, then sprinkle over apples.; Bake in the preheated oven for 60 minutes, or until topping is golden brown. | Home; Recipes; Desserts; Pies; Slab Pie
Very, Very, Very Good Cheesecake | 108 | 90 | 4.64948463439941 | 2 h 30 m | 1 cup butter, room temperature; 4 (8 ounce) packages cream cheese, softened; 1 1/2 cups white sugar; 5 eggs, room temperature; 2 cups heavy cream; 1 1/2 tablespoons cornstarch; 1 teaspoon vanilla extract | Preheat oven to 350 degrees F (175 degrees C). Grease and flour a 9 inch springform pan.; Using an electric mixer, beat the butter, cream cheese and sugar until light and fluffy. Beat in the eggs, one at a time, until blended. Stir in the heavy cream, cornstarch and vanilla.; Wrap the bottom of the springform pan with aluminum foil. Line a roasting pan with a damp kitchen towel. Place cheesecake pan on towel, inside roasting pan, and place roasting pan on oven rack. Fill roasting pan with boiling water to reach halfway up the sides of the cheesecake pan. Bake for 60 minutes, or until center of the cheesecake is just firm. Cool at room temperature for 1 hour. Refrigerate until set before removing from pan. | Home; Recipes; Desserts; Cakes; Cheesecake
French Coconut Pie | 110 | 85 | 4.72164964675903 | 55 m | 2 1/4 cups white sugar; 2 tablespoons all-purpose flour; 6 eggs; 1 cup buttermilk; 1/2 cup margarine, melted; 1 cup flaked coconut; 1 cup chopped pecans; 2 prepared 8 inch pastry shells | Preheat oven to 350 degrees F (175 degrees C). In a small bowl, mix together the sugar and flour.; In a large bowl, mix the eggs with a wire whisk. Whisk flour mixture into eggs, until smooth. Stir in buttermilk, margarine, coconut and pecans. Pour into unbaked pie crusts.; Bake in preheated oven for 45 minutes. If making a 9 inch deep dish pie, bake for 1 hour. | Home; Recipes; World Cuisine; European; French
